Title,body,manual
Lead and Assistant Teachers Needed !,QR Code Link to This Post Little Rascals is looking for lead and assistant teachers to join our team ASAP Must have a high school diploma or GED at least 6 months of CHILDCARE CENTER experience for a lead position and be able to pass a criminal background check and get a TB test We are looking for immediate hire You are welcome to come in and fill out an application at and of our locations Paid Weekly No weekends Medical Benefits Paid Vacation and Holidays 3400 S Mill Ave suite 334 Tempe AZ 85282 1116 S Mcclintock Dr Tempe 85281 139 E Southern Ave Tempe 85282 or email a resume to tiffanylane77 hotmail com ,1
"After-School cooking teacher in Phoenix, AZ",QR Code Link to This Post Do you like to teach kids and enjoy healthy cooking as a hobby Join LIFT Enrichment as a Chef Teacher where you can teach after school healthy culinary workshops to students at low income Title 1 Schools It s a fun and rewarding job where you can help students learn a key lifeskill learning to make easy and healthy meals Plus we are the highest paying after school company in California our Chef Teachers receive 80 per 1 hour workshop and 120 per 2 hour workshop vs other companies pay 40 50 per 1 hour workshop See below for a full breakdown of compensation mileage Read about our latest blog posts written by CEO Eric Horwitz here www liftenrichment com 5 Awesome Reasons to be a Chef Teacher https liftenrichment com blog 5 awesome reasons to be a chef teacher with lift enrichment Requirements Have a car that can hold our culinary kit it s a medium sized container with an electric skillet and basic cooking supplies Covid vaccinated Available during the afternoons classes are between 2pm 5pm Live within 10 20 miles of our school sites these are all over California Teaching experience is preferred You don t need to be a professional chef In fact having experience teaching with kids or teens camp counselor retired teacher after school instructor yoga teacher etc is more helpful than a culinary degree You do need to have basic cooking skills i e you can cook quesadillas stirfries chicken etc We Offer Paid training Great curriculum We make it easy for our Chef Teachers because we ship the fresh ingredients directly to your home for culinary lessons like Pasta with Zucchini and Bell Peppers Black Bean Spinach Quesadilla with Pico de Gallo Whole Wheat Grilled Cheese with Broccoli Slaw Crispy Chicken Tenders with Mixed Green Salad High pay Each 1 hour workshop is for 20 students mostly elementary with some middle high school Teaching 1 workshop takes about 3 hours of work when you consider drive time to and from the school at home prep the lesson and cleanup Chef Teachers receive 80 per 1 hour workshop 70 compensation and 10 non taxed mileage and 120 per 2 hour workshop 110 compensation and 10 non taxed mileage About Us LIFT Enrichment has been teaching healthy cooking classes to students for over 12 years and is the best at teaching healthy eating to students We ve taught over 25 000 students since 2010 We ve been featured in Huffington Post Los Angeles Times and have partnered with Whole Foods stores To Apply Fill out this Chef Teacher Application Form and we ll get in touch with you to setup a quick phone interview Questions Call us at 310 890 8704 https forms gle 3Qij5KD23Pn2aw5Y9,1
Assistant Director/ Lead Teacher,QR Code Link to This Post Little Angels Child Care Center is looking for a Lead Teacher Assistant Director This individual must have at least two years of experience working in a licensed childcare facility This is a management position that requires excellent communication skills and a professional demeanor working with families in the front office and doing paperwork as well A current negative TB test high school diploma or GED CPR First Aid and a valid fingerprint clearance card are required Benefits include sick time paid vacation holiday bonuses attendance bonuses 401k and medical and dental reimbursement The hours are 9 30 am to 6 00 pm M F Pay is every two weeks on Friday Please send your resume or apply in person at 1544 East Mitchell Drive Phoenix 85014 Further questions please call the Linda at 602 435 5250 for more information about this opportunity ,1
"☂️ IMMEDIATE OPENINGS: Nanny, Babysitter, Caregivers - Flexible Hours",QR Code Link to This Post There s a new family that can t wait to meet you Sign up today for flexible well paid child care tutoring and household jobs URBANSITTER PERKS INCLUDE Flexible jobs Choose from full time part time nanny jobs including many back to school gigs such as after school sitter carpool driver and homework tutor or work occasionally as a date night or weekend sitter Housekeeping pet sitting and elderly caregiver jobs also available Well paid Top caregivers earn over 1000 a week You keep 100 of your earnings with our standard payment setting Trust safety commitment Parents must pass an identity check to book COVID 19 guidelines offer peace of mind Award winning customer support 7 days a week Be a part of a great community of families and caregivers across the U S Book jobs with families you re already connected to again and again REQUIREMENTS Must love kids Respectful responsible kind Previous babysitting or child care experience is preferred but not required Must be 18 years or older and eligible to work legally in the U S ABOUT URBANSITTER UrbanSitter is an app and website that s making it easier than ever for caregivers to find flexible well paid jobs in child care senior care pet house care With full time part time and occasional positions available across the US top sitters and nannies earn more than 1 000 wk Babysitting with UrbanSitter is perfect if you re looking for part time work jobs for college students temporary work seasonal work or full time work You set your own schedule and rates for ultimate flexibility We welcome babysitters and nannies with a range of child care experience such as babysitting for neighbors and family camp counselors tutors soccer coaches swimming coaches preschool teachers substitute teachers music teachers daycare teachers daycare workers early childhood development students nursing students education students grad students undergraduate students senior caregivers pet sitters housekeepers household assistants house sitters Additional keywords babysitting jobs babysitter job babysitter baby sitter babysitting nanny nanny jobs nanny for hire nannying au pair au pair jobs childcare jobs child care jobs child care childcare part time job temp work work with kids daycare job daycare jobs day care job day care jobs afterschool care after school care virtual jobs virtual sitting virtual babysitter virtual tutor tutor tutoring gigs senior care elderly care house sitting pet sitting dog walker Click to babysit with UrbanSitter ,0
PAID Clinical Study** Up to $1900 Compensation**Vaccine to Prevent CMV,QR Code Link to This Post Chandler Clinical Trials is now conducting a new CMV Vaccine trial and looking for qualified research participants Call us at 480 716 4590 Now CMV Vaccine Help fight the leading infectious cause of birth defects Qualified volunteers may receive Reimbursement for time and travel of up to 1900 To qualify you must be o Between the ages of 16 and 40 o Not currently breastfeeding Earn up to 1 900 for your participation Free Doctor Visits Free Vaccine Free No insurance required space is limited Check out our other studies Contraception Asthma Oseteoarthritis Health Volunteer Vaccine Research Studies AND MANY MORE Medical research depends on volunteers to help develop new cutting edge medicines These medicines help people in their everyday lives Check out our website WWW CHANDLERTRIALS COM CHANDLER CLINICAL TRIALS Advancing Medicine Through Research Call 480 716 4590,0
Piano Instructor (Career Opportunity Available),QR Code Link to This Post Music Lessons Arizona LLC is hiring piano instructors who have a passion for music education and want to have a career being an extraordinary piano pedagogue We are a fast growing music studio located in South Tempe that conducts private piano instruction and classes for mainly ages 5 to 13 years old Available Days and Hours Sunday Wednesday 2 00 PM to 9 00 PM Job Qualifications At least 5 years of professional classical piano training or working towards a music degree concentration in piano No prior music teaching experience necessary we provide paid training Ability to read standard music notation fluently Enjoys working with children Familiar with basic technology such as Apple computers Google Microsoft Apps Reliable puntual professional and dependable Have excellent communication skills Able to work in the USA Has a dependable transportation Familiar with ABRSM Piano Syllabus preferred Job Duties Coach students on how to practice effectively and perform with confidence Teach proper piano playing techniques reading notation rhythm counting etc Work with mostly beginners and intermediate level students Ability to engage and manage small classes of children Apply creative approaches to teaching to engage students This is a part time salary based employee position Pay depends on experience Please fill out the application form by clicking the link below https musiclessonsarizona com teacher application ,1
"Preschool Teacher ""$250 Sign On Bonus"" *",QR Code Link to This Post Teachers are responsible for all students assigned to them in the areas of education supervision assessment and parent communication We utilize the Creative Curriculum and the GOLD Assessment tool to execute lessons and assessments Our ratios are 1 10 Paid Prep Time Must meet the qualifications of a Lead Teacher in accordance with the Arizona Department of Health Services Bureau of Child Care Licensing,1
Reading Tutor,QR Code Link to This Post Reading Tutor 15 20 per hour Remote PST Hours Contract Position Summary The Tutor will play a critical role in supporting small groups of growing readers virtually multiple times a week Reporting to the Program Manager of Tutoring Services the Tutor will use the company s small group tutoring intervention program to deliver tutoring sessions virtually and monitor students progress The successful candidate will be an enthusiastic results driven and self starter individual who enjoys working with young children and developing learning skills through game like activities The individual must provide consistent outstanding support to students and be a strong communicator with parents and teachers They will combine a capacity for technology and strong relationship building skills All candidates must reside in the United States and meet U S employment eligibility requirements Responsibilities of the Tutor Provide direct virtual tutoring services to small groups of students in grades Kindergarten through Fifth Grade multiple times per week throughout the school year Monitor progress of students reading ability virtually to determine if tutoring instruction is working or needs adjustments Prepare for virtual tutoring sessions based on provided small group lesson plans Track student attendance for tutoring groups on a daily basis Implement feedback from program manager and professional development coach Communicate clearly and consistently with teachers and parents on student goals and achievements Regularly read and review email and communication from the tutor leadership team to keep informed on program changes and updates Attend synchronous or asynchronous bi weekly tutor meetings with project manager Attend and engage during virtual training and onboarding Contribute to project level feedback and reporting for internal and external stakeholders Basic Qualifications of the Tutor Fluent English speaker This position requires a computer with a stable internet connection Reliable dependable and on time to all commitments High School level proficiency with reading competencies Comfortable with technology Zoom GoogleMeet Google Docs GoogleSheets online platforms Enjoys working with Kindergarten through Fifth Grade students Available for part time assignments from 9 to 30 hours per week with reliable and consistent schedule throughout the 2022 2023 school year Experience preparing and leading instructional activities or games with small groups of children ideally virtually Ability to communicate clearly and effectively with parents teachers and program manager Preferred Qualifications of the Tutor Tutoring experience Fluent Spanish speaker Knowledge of early reading skills TCWGlobal is an equal opportunity employer We do not discriminate based on age ethnicity gender nationality religious belief or sexual orientation,1
Lower School Teacher,QR Code Link to This Post Come be part of the teaching team at New Way Academy We are an independent Arizona State approved and accredited school for bright children with learning differences Our Lower School full time or part time teacher adheres to the school s mission to educate children with learning differences to fulfill their potential New Way Academy students are unique not only in their learning styles but in their perseverance resilience and skills they develop to overcome their learning challenges Our students deserve a rigorous differentiated and empowering education to help them realize their full potential We welcome you to visit our website at www newwayacademy org to learn more about our unique school At New Way we embrace diversity and inclusiveness Position highlights Small class sizes Grouped by academic ability levels Collaborative academic teams Opportunity to teach Reading Comprehension Math and Phonics for half of the day Responsibilities Include Help to develop adapt curriculum specialized to student needs for our lower school students Maintain and utilize accurate and up to date data regarding student achievement Empower students through high expectations consistent routines and strategies for success Contribute to the drafting of each student s IEP or similar student plan Develop and maintain strong working relationships with parents students and colleagues Work collaboratively with the other level and content teams Characteristics and Qualities Passionate about empowering students with unique learning profiles Innovative and creative Strong planner with an emphasis on execution Effective communicator both internally and externally Team player High level of integrity and professionalism Willingness to go above and beyond Highly organized Education Certificate and License Requirements Hold valid fingerprint clearance card Bachelor s degree or higher with a preferred emphasis on special education Previous reading teacher experience Compensation Based on experience Complimentary school lunch program Full time also includes Full benefits including health vision and dental Competitive 401K package Please submit your resume along with a cover letter of why you d like to be a part of the New Way team ,1
Teacher,QR Code Link to This Post Job description Teacher Job Responsibilities Providing basic care for children which includes feeding grooming and changing diapers Developing age appropriate socialization skills in children Encouraging positive behavior and good manners Using various learning methods such as stories games and drawing to intellectually stimulate children Identifying behavioral problems and developing appropriate strategies to address them Attending staff meetings conferences and workshops Holding regular parent teacher meetings to address any issues concerns or parent complaints Providing a pleasant safe and sanitary environment Communicating with parents and providing updates on children s progress Qualifications Skills and Experience High school diploma or GED Child Development Associate CDA is advantageous Proven experience working as a childcare teacher Certification in first aid and CPR is preferred Clear criminal background check In depth understanding of childhood development Strong conflict resolution skills Excellent communication skills Attentive and patient Benefits Educational Assistance Discounted Child Care Medical 401 K with Employer Match Paid Time Off Competitive Salary Physical Requirements Prolonged periods standing and walking throughout the classrooms Must be able to lift up to 45 pounds at a time Must be able to sit and stand on the floor throughout the day and bend kneel or squat to be at eye level with children Job Type Full time Schedule 10 hour shift 8 hour shift Monday to Friday Work Location One location Small Miracles Education is an equal opportunity employer that is committed to diversity and inclusion in the workplace We prohibit discrimination and harassment of any kind based on race color sex religion sexual orientation national origin disability genetic information pregnancy or any other protected characteristic as outlined by federal state or local laws This policy applies to all employment practices within our organization including hiring recruiting promotion termination layoff recall leave of absence compensation benefits and training Small Miracles Education makes hiring decisions based solely on qualifications merit and business needs at the time ,1
Daycare Worker,QR Code Link to This Post Creative Center is a family owned and operated daycare center that has been providing quality care for over 40 years We are currently looking for dynamic and passionate early childhood educators who can hit the ground running and enjoy being part of a close knit team We have a range of positions available from part time to full time and even substitute teaching positions We would love to discuss your future with us If you re interested please submit a cover letter including your availability ie part time full time as well as a resume We look forward to speaking with you ,0
Preschool Pre-K Assistant (part time),QR Code Link to This Post We re looking someone warm dedicated and nurturing within our community to join our Pre Kindergarten teacher M F 9 1 as an assistant An ideal candidate would be a member of our Tatum Ranch Cave Creek community a mom or someone who would enjoy being with younger kids in the classroom We offer low ratios small class sizes and follow the Cave Creek School District calendar for holidays and breaks Please send a cover letter with a little about yourself if you are interested in the position 15 15 50 hr DOE,1
ADMISSIONS / CAREER SERVICES director,QR Code Link to This Post AUTOMOTIVE DEALERSHIP INSTITUTE is a high end private automotive business school in Scottsdale We have an immediate opening for an energetic and positive ADMISSIONS JOB PLACEMENT DIRECTOR who possesses a great attitude a strong desire to provide great customer service willingness to work in a team environment strong phone skills knowledge of Microsoft Office programs and the ability to adapt to fast pace office situations Automotive experience preferred but not necessary Please note that this is a full time in office position SCHOOL ENROLLMENT OR CAREER SERVICES EXPERIENCE A MUST Initial interviews will be held through ZOOM www autodealerinstitute com Requirements Professional attire and demeanor Excellent communication and follow up skills Exceptional telephone manner Must have very strong organizational skills Strong computer skills including Microsoft Office and Internet Email Locals with reliable transportation and great attitude and work ethic Please call e mail or fax resumes to Tel 480 998 7200 Email aralgan autodealerinstitute com Fax 480 998 7220,1
Child Care Teacher,QR Code Link to This Post Child care teacher needed Infants through school age positions Salary DOE Finger Print Clearance Card Needed TB Test High School Diploma GED Position starts immediately,1
Looking for Experienced Tutor,QR Code Link to This Post I am looking for an experienced tutor to work with my 2 sons They are home schooled and need someone to sit with them as they go through their courses daily Must have prior education experience They are in the 6th and 9th grades Hours are Mon Thursday 12pm 4pm and Friday s 12 3pm Pay is 60 00 per hour Must have reliable transportation and references upon request Looking for someone as soon as possible Serious inquiries only ,1
Break into Technology Sales,QR Code Link to This Post Submit an application here to be considered https elevatehire co If accepted you will be enrolled in the Elevate 1st Summit SDR Bootcamp This is a training program that will ensure you Elevate to the next level of your career and be prepared for the Sales Development Representative role Sales Development Representatives SDR earn a 40 000 60 000 base salary on average with 20 000 30 000 in commission as well Elevate is building the next generation of sales leaders preparing you to earn your career in tech Elevate is 100 remote part time and runs for 10 weeks You ll be starting immediately be coached by industry experts sell with startups and join a community of mentors and classmates You have to be motivated committed and ready to learn Only the most prepared will be accepted No experience is necessary but you need a willingness to learn and pursue a career in Tech ,0
Preschool and Childcare Teachers,QR Code Link to This Post Full Time and Part Time Competitive Pay WE ARE OFFERING a 500 00 HIRING BONUS Our employee benefits for full time employees include 401 k with employer matching Paid Time Off programs employee bonus opportunities as well as free childcare for your children We are seeking hardworking motivated caring teachers who genuinely love children Our teachers are passionate about helping children grow and learn in a loving and playful environment We have full time and part time positions available Applicants must have the following minimum qualifications to apply Obtain a State of Arizona fingerprint Card TB Test Must be 18 years or older Must pass a Criminal Background Check Must have a minimum of 6 months of childcare experience We offer extensive training in child development We also offer tuition reimbursement opportunities to assist in your professional development ,1
After School Teacher /Toddler Teachers,QR Code Link to This Post Enrollment is going up Kids World Learning Center is hiring Teachers for our Infant toddler and preschool rooms Full time and part time positions are available We are looking to hire fun outgoing children loving persons to join our team Candidates must have the ability to meet AZDHS guidelines Van Drivers must have at least 6 months experience in a child care setting possess a high school diploma and a valid Level 1 Fingerprinting Clearance Card Please call 480 855 4000 to find out more or send your resume to kwazstaff gmail com Walk in interviews will be conducted every day between 9 30 am 11 30 am ,1
